"sigungu_code","sigungu_name","sigungu_nm","sido","RR_median","RR_mean","RR_CrI_lower","RR_CrI_upper","Pr_RR_gt_1","elevated_95CrI_flag","exceedance_0_8_flag","exceedance_0_9_flag","island_removed_from_main","total_cases_2011_2024"
"11030","서울시용산구","용산구","서울시",1.0343232337591315,1.0748484985284734,0.6630149124113784,1.7218331217601213,0.5618333416631648,FALSE,FALSE,FALSE,FALSE,3
"33030","충청북도제천시","제천시","충청북도",1.0309077684500072,1.0743320692072924,0.6694950419743901,1.7322213787870941,0.5568962023525357,FALSE,FALSE,FALSE,FALSE,4
"32070","강원도삼척시","삼척시","강원도",1.0334863230930496,1.0858703058168517,0.6177623666952453,1.8619030829564185,0.5530189974902255,FALSE,FALSE,FALSE,FALSE,0
"38400","경상남도합천군","합천군","경상남도",1.027848604057539,1.054341783343258,0.6375929796457908,1.629372859879131,0.5523692959945214,FALSE,FALSE,FALSE,FALSE,0
"11040","서울시성동구","성동구","서울시",1.0256316990434222,1.0603961489955245,0.6874987463824525,1.6336201274951883,0.5509440287594636,FALSE,FALSE,FALSE,FALSE,4
"35380","전라북도부안군","부안군","전라북도",1.0297049481653175,1.0715047696627105,0.6266420184008505,1.7635454028806186,0.5504060193397716,FALSE,FALSE,FALSE,FALSE,1
"11250","서울시강동구","강동구","서울시",1.0203603541473047,1.055345632286701,0.6787475573230749,1.6329549935161318,0.5395052818490376,FALSE,FALSE,FALSE,FALSE,8
"38370","경상남도산청군","산청군","경상남도",1.0224306488041643,1.051221744137049,0.6066976933595699,1.6690562431702347,0.5393721419481406,FALSE,FALSE,FALSE,FALSE,0
"31150","경기도시흥시","시흥시","경기도",1.0210935771795528,1.0533608261598293,0.6514427141610521,1.6414458957716458,0.5388637328055048,FALSE,FALSE,FALSE,FALSE,5
"37420","경상북도울진군","울진군","경상북도",1.021972753205048,1.0666762898106041,0.6275514292865547,1.7689954399014414,0.5372957157750862,FALSE,FALSE,FALSE,FALSE,1
"11010","서울시종로구","종로구","서울시",1.0172231024141283,1.050465491782272,0.6608413199796698,1.6328889719561634,0.5328302214149598,FALSE,FALSE,FALSE,FALSE,4
"22310","대구시달성군","달성군","대구시",1.0160710372264241,1.044751058317202,0.66378365923474,1.5941069850834104,0.5317641297148221,FALSE,FALSE,FALSE,FALSE,3
"32310","강원도홍천군","홍천군","강원도",1.0181793648566768,1.0610044833095464,0.6290311765779527,1.743605699667905,0.5312746355842823,FALSE,FALSE,FALSE,FALSE,1
"35050","전라북도남원시","남원시","전라북도",1.0177348102385988,1.0509145417888484,0.6108912168965205,1.6894376849814017,0.5309718310567755,FALSE,FALSE,FALSE,FALSE,1
"32330","강원도영월군","영월군","강원도",1.0171593212356214,1.0599574835157959,0.6393583892218531,1.7324766843460193,0.5305780714601578,FALSE,FALSE,FALSE,FALSE,0
"37410","경상북도봉화군","봉화군","경상북도",1.0183932705315821,1.0676905436885518,0.6075650897067163,1.8207769676431032,0.5298637330038887,FALSE,FALSE,FALSE,FALSE,1
"38360","경상남도하동군","하동군","경상남도",1.0157450810241426,1.0414197564332635,0.6066007297300884,1.6310351739360864,0.5280764249308079,FALSE,FALSE,FALSE,FALSE,0
"22020","대구시동구","동구","대구시",1.0116049553521897,1.0380134694323506,0.6784471885951489,1.551741508869813,0.5241008802784932,FALSE,FALSE,FALSE,FALSE,5
"11240","서울시송파구","송파구","서울시",1.0109618624060714,1.0422152077374074,0.6881758862245158,1.5760420818588008,0.5228064022803418,FALSE,FALSE,FALSE,FALSE,7
"37370","경상북도고령군","고령군","경상북도",1.0113204861038234,1.0386862671850312,0.6344290388230777,1.6069395404757885,0.5216233352922248,FALSE,FALSE,FALSE,FALSE,0
"36060","전라남도광양시","광양시","전라남도",1.0083936379137288,1.0344171259010646,0.6023827389571116,1.6227470296171287,0.5148101713195425,FALSE,FALSE,FALSE,FALSE,1
"38350","경상남도남해군","남해군","경상남도",1.0069799912121793,1.0358517895805204,0.5738061147624732,1.6731817425898814,0.5115959950951783,FALSE,FALSE,FALSE,TRUE,0
"36020","전라남도여수시","여수시","전라남도",1.005492905129394,1.0331356607507194,0.5971997523147977,1.6343426289318388,0.5094458914223787,FALSE,FALSE,FALSE,FALSE,3
"37380","경상북도성주군","성주군","경상북도",1.003045726939994,1.037305629547384,0.6145068770393789,1.6659722581052283,0.5054688583318909,FALSE,FALSE,FALSE,FALSE,1
"32380","강원도양구군","양구군","강원도",1.0017417975827423,1.0472969694749756,0.5828896061904013,1.7816126626478472,0.5027731929026116,FALSE,FALSE,FALSE,FALSE,1
"22070","대구시달서구","달서구","대구시",0.9981142891219277,1.0235883367884047,0.6490677383693918,1.5484976797679175,0.4962600149368819,FALSE,FALSE,FALSE,FALSE,5
"36030","전라남도순천시","순천시","전라남도",0.997025271788169,1.018791172630496,0.6191086553897501,1.548813571019692,0.4943780136043182,FALSE,FALSE,FALSE,FALSE,2
"37390","경상북도칠곡군","칠곡군","경상북도",0.9969204132017941,1.0237470059309164,0.6466736765151376,1.5601091321138791,0.4938478983692516,FALSE,FALSE,FALSE,FALSE,2
"32370","강원도화천군","화천군","강원도",0.9943187227763384,1.0368900056723536,0.5862795478101035,1.7404245066622515,0.4906731792126996,FALSE,FALSE,FALSE,FALSE,1
"35350","전라북도임실군","임실군","전라북도",0.9911375555956764,1.0234742602812252,0.5903481943533401,1.6522780456357575,0.4844500161684926,FALSE,FALSE,FALSE,FALSE,0
"32410","강원도양양군","양양군","강원도",0.9882167203245907,1.030538910335775,0.5712051531124952,1.7420431786389483,0.4810829534347414,FALSE,FALSE,FALSE,FALSE,0
"36350","전라남도고흥군","고흥군","전라남도",0.9857698970080303,1.0137298984897958,0.5612681706609278,1.6357644038535302,0.4763616665106587,FALSE,FALSE,FALSE,FALSE,0
"36380","전라남도장흥군","장흥군","전라남도",0.984715307443031,1.0122116656685,0.5679012718994826,1.6213883079543598,0.4744286237050145,FALSE,FALSE,FALSE,FALSE,0
"32010","강원도춘천시","춘천시","강원도",0.9853824102630558,1.0200057536180036,0.6065682647824588,1.6376643960152826,0.47418921140263504,FALSE,FALSE,FALSE,FALSE,3
"26310","울산시울주군","울주군","울산시",0.9855782515502836,1.008620949119085,0.5947246426929362,1.5615328321073751,0.4739542935753309,FALSE,FALSE,FALSE,FALSE,3
"38380","경상남도함양군","함양군","경상남도",0.9835111584447201,1.0114551026196557,0.5666979550159542,1.628450446888919,0.4714216796388655,FALSE,FALSE,FALSE,FALSE,0
"35060","전라북도김제시","김제시","전라북도",0.9821610882161926,1.0124051011657547,0.6079074774667425,1.5987591013365998,0.46710463159188786,FALSE,FALSE,FALSE,FALSE,1
"32390","강원도인제군","인제군","강원도",0.9775910497657633,1.0201851001333884,0.5511316692584844,1.7447548200718617,0.4649448761671994,FALSE,FALSE,FALSE,FALSE,0
"35340","전라북도장수군","장수군","전라북도",0.9794211488570066,1.0052543556379476,0.5859155705097007,1.5831987475325724,0.46224929454053376,FALSE,FALSE,FALSE,FALSE,0
"22010","대구시중구","중구","대구시",0.9819919461247044,1.0034104461117264,0.6502671671096543,1.4843048637314253,0.4619485523228055,FALSE,FALSE,FALSE,FALSE,3
"37100","경상북도경산시","경산시","경상북도",0.9797885867400044,1.003777798003814,0.6209663812853576,1.5309667735541501,0.46062343092700553,FALSE,FALSE,FALSE,FALSE,2
"32400","강원도고성군","고성군","강원도",0.9713648567356568,1.0184437611297616,0.5236665669761829,1.7977905841776751,0.45774849065888257,FALSE,FALSE,FALSE,FALSE,0
"11190","서울시영등포구","영등포구","서울시",0.9779296483270624,1.0008619740133808,0.6311321585972998,1.5055247140973163,0.4557284588080205,FALSE,FALSE,FALSE,FALSE,3
"11090","서울시강북구","강북구","서울시",0.9778771785367391,1.0028726590239714,0.6424434753918383,1.5095598939337813,0.45494449780823853,FALSE,FALSE,FALSE,FALSE,4
"36480","전라남도신안군","신안군","전라남도",0.9687932630588605,1.0018500222648774,0.5216989295173757,1.6807362956803007,0.45297085318547226,FALSE,FALSE,FALSE,FALSE,0
